#MWE	PoS-sequence	annotated	not-annotated
check_-_in	NN HYPH NN	1	0
cesar_gracie	NNP NNP	1	0
inspection~sticker	NN NN	1	0
plan_on	VBP IN	1	0
do~n't~give_a_darn	VBP RB VB DT NN	1	0
price_quote	NN NN	1	0
right_off_the_bat	RB IN DT NN	1	0
family_emergency	NN NN	1	0
fitness_center	NN NN	1	0
new_providence	NNP NNP	1	0
flea_market	NN NN	1	0
gustavo_guerra	NNP NNP	1	0
turned_into	VBD IN	1	0
sear's_automotives	NNP NNP	1	0
criminal_defense_attorney	JJ NN NN	1	0
hop_city	NNP NNP	1	0
bad~for~business	JJ IN NN	1	0
who_would_have~guessed	VBP WP MD VB	1	0
kick_back	VB RB	1	0
old_fashion	JJ NN	1	0
st._thomas_the_apostle	NNP NNP DT NNP	1	0
niche_market	NN NN	1	0
beginning_yoga_with_brittany	NN NN IN NNP	1	0
stock_up	VBP RP	1	0
on_purpose	IN NN	1	0
been_there_/_done_that	VBN RB XX VBN DT	1	0
bradley_food_and_beverage	CC NNP NNP CC	1	0
planning_on	VBG IN	1	0
pork~and~rice	NN CC NN	1	0
bright_futures	NNP NNPS	1	0
jaw_dropped	NN VBD	1	0
in_limbo	IN NN	1	0
out_-_of_-_town	IN IN HYPH HYPH IN	1	0
cn_tower	NNP NNP	1	0
ruth_chris	NNP NNP	1	0
thank_-_you	VBP HYPH PRP	1	0
top_to_bottom	NN IN NN	1	0
had_the_audacity	DT VBD DT	1	0
works_for_me	VBZ IN PRP	1	0
sushi_bar	NN NN	1	0
dental_care	JJ NN	1	0
alta_moda	NNP NNP	1	0
sam_mones	NNP NNP	1	0
britt_'s_pizza	NNP POS NNP	1	0
introduced_to	VBN IN	1	0
in_no_time	IN DT NN	1	0
fitness_500	NNP NNP	1	0
r._morris	NNP NNP	1	0
knights_inn	NNPS NNP	1	0
hole_in_the_wall	IN NN IN DT	1	0
played_dumb	VBD JJ	1	0
tiger_heating_and_air	NNP NNP CC NNP	1	0
go_above_and_beyond	VBP RB CC RB	1	0
by~far	IN RB	1	0
will_and_grace	NNP CC NNP	1	0
m_going_to	TO IN VBP	1	0
have~to~offer	TO TO VBP	1	0
queen_bed	NN NN	1	0
great_ear	JJ NN	1	0
do~n't~judge~a~book~by~its~cover	VB RB VB DT NN IN PRP$ NN	1	0
crap_hole	NN NN	1	0
are~you~kidding~me	VBP PRP VBG PRP	1	0
chicken_salad	NNP NN	1	0
do_yourself_a_favor	VB PRP DT NN	1	0
dave_terrell	NNP NNP	1	0
have_fun	VB NN	1	0
tried_on	VBD RP	1	0
anna_maria_jose_mudo	NNP NNP NNP NNP	1	0
pushed_in	VBN RP	1	0
home_-_cooked	NN HYPH VBN	1	0
win_in	GW IN	1	0
dr_mcdonald	NNP NNP	1	0
pay_attention_to	VB NN IN	1	0
to_show_for	TO VB IN	1	0
pardon_my_french	VB PRP$ NNP	1	0
second_hand_smoke	JJ NN NN	1	0
le_petit	NNP NNP	1	0
trade_-_in	NN HYPH NN	1	0
crust_on_broad	NNP IN NNP	1	0
2_star	CD NN	1	0
lack_-_luster	JJ HYPH JJ	1	0
sister_-_in_-_law	NN HYPH HYPH IN HYPH HYPH NN	1	0
tip_top	JJ JJ	1	0
tracked_down	VBD RP	1	0
took_forever	VBD RB	1	0
the_libido_band	DT NN NN	1	0
pass_up	VB RP	1	0
go_to_heck	VB IN NN	1	0
morningside_road	NNP NNP	1	0
asking_to	VBG TO	1	0
who_-_knows_-_what	WP HYPH HYPH VBZ HYPH HYPH WP	1	0
providence_aesthetics_and_medical_spa	NNP NNPS CC NNP NNP	1	0
did_so	VBD RB	1	0
high_tech	JJ NN	1	0
dr_joseph	NNP NNP	1	0
eco_friendly	AFX JJ	1	0
highly~recomended	RB VBN	1	0
one_-_way_street	CD HYPH NN NN	1	0
take_heed	VB NN	1	0
hair_by_nivine	NNP IN NNP	1	0
goes_clear_through	VBZ RB RB	1	0
st._charles_mall	NNP NNP NNP	1	0
award_dance_centre	NNP NNP NNP	1	0
ca_n't_get_enough	MD RB VB JJ	1	0
same_old	JJ JJ	1	0
ladies_room	NNS NN	1	0
below_zero	IN CD	1	0
have_the_pleasure	VB DT NN	1	0
non_refundable	AFX JJ	1	0
in_addition	IN NN	1	0
purple_hull_peas	JJ NN NNS	1	0
noonan_'s_liquor	NNP POS NNP	1	0
go_to_the_bathroom	VBP IN DT NN	1	0
get_up	VB RP	1	0
red_sox	NNP NNPS	1	0
be_sure_to	VB JJ TO	1	0
credit_card_minimum	NN NN NN	1	0
kelvin_trimmers	NNP NNPS	1	0
blown_glass	VBN NN	1	0
disagreed_with	VBD IN	1	0
to_date	IN NN	1	0
garment_district	NNP NNP	1	0
yr_old	NN NN	1	0
mixed_up	VBN RP	1	0
comes_across	VBZ RB	1	0
bexar_county_tax_office	NNP NNP NNP NNP	1	0
canadian_outback	NNP NNP	1	0
took_care_of	VBD NN IN	1	0
did~business	VBD NN	1	0
hair_style	NN NN	1	0
new_year_s_eve	NNP NNP POS NNP	1	0
qualitech_computers	NNP NNPS	1	0
long_gone	RB JJ	1	0
fill_up	VB RP	1	0
do_business_with	VB NN IN	1	0
love_stout	NNP NNP	1	0
in_,_out	, RB ,	1	0
check_ups	NN NNS	1	0
clarkson_university	NNP NNP	1	0
air_duct	NN NN	1	0
fire_drill	NN NN	1	0
feels_like_a_number	VBZ IN DT NN	1	0
deli_sandwiches	NN NNS	1	0
call_of_duty	NN IN NN	1	0
put_up_with	VB RP IN	1	0
bellevue~,~wa.	NNP , NNP	1	0
in_the_midst_of	IN IN DT NN	1	0
mass_-_market	JJ HYPH NN	1	0
the_other_day	DT JJ NN	1	0
short_pump	NNP NNP	1	0
the_brick	DT NNP	1	0
if~that	IN DT	1	0
making_a_buck	VBG DT NN	1	0
woodland_hills	NNP NNPS	1	0
picky~eaters	JJ NNS	1	0
new_born	JJ JJ	1	0
line_dancing	NN NN	1	0
took_time	VBD NN	1	0
middle_school	NN NN	1	0
consists_of	VBZ IN	1	0
steering_wheel	NN NN	1	0
roll_up_crepes	NNP NNP NNPS	1	0
salsa_verde	NN NN	1	0
no_big_deal	DT JJ NN	1	0
riding_on_rails	VBG IN NNS	1	0
chili_relleno	NN NN	1	0
horror~stories	NN NNS	1	0
made_a_mistake	DT VBN DT	1	0
r&l_plumbing_services	NNP NNP NNP	1	0
mingle_with	VB IN	1	0
master_keying	NN VBG	1	0
pam_gillies	NNP NNP	1	0
go_through	VB IN	1	0
people_watching	NNS NN	1	0
dr._chao	NNP NNP	1	0
am_no_stranger_to	VBP DT NN IN	1	0
make_money	VBP NN	1	0
all_in_one	DT IN CD	1	0
hot_topic	NNP NNP	1	0
the_creative_workshop	DT DT NNP	1	0
rave_reviews	JJ NNS	1	0
book_a_reservation	VB DT NN	1	0
fried_egg	VBN NN	1	0
met_with	VBD IN	1	0
federal_sts.	NNP NNPS	1	0
hit_the_ground	DT VBD DT	1	0
all~in_a_matter_of	RB IN DT NN IN	1	0
walk_-_in	NN HYPH NN	1	0
quitting_smoking	VBG NN	1	0
time_of_need	NN IN NN	1	0
run_on	NNP NNP	1	0
in_itself~let_alone	IN PRP VB RB	1	0
take~pictures	VB NNS	1	0
thought_of	VBN IN	1	0
wine_flight	NN NN	1	0
bus_boy	NN NN	1	0
in_this_day	IN DT NN	1	0
grizzly_700	NNP NNP	1	0
nova_scotia	NNP NNP	1	0
fort_lee	NNP NNP	1	0
are_out_of_this_world	VBP IN IN DT NN	1	0
family~owned_and_operated	NN VBN CC VBN	1	0
why_in_the_hell	WRB IN DT NN	1	0
cross_checks	VB VBZ	1	0
hit_the_nail_on_the_head	VBD DT DT NN IN DT DT NN	1	0
on_schedule	IN NN	1	0
raina_'s	NNP POS	1	0
keep_your_eyes_open	VB PRP$ NNS JJ	1	0
rent_out	VB RP	1	0
winterowd_fine_art	NNP NNP NNP	1	0
s._10th	NNP NNP	1	0
came_home_to	VBD RB IN	1	0
dr._stiefvater	NNP NNP	1	0
health_inspector	NN NN	1	0
come_by	VB RB	1	0
house_of_joy	NN IN NNP	1	0
bay_rd	NNP NNP	1	0
price_point	NN NN	1	0
air_filter	NN NN	1	0
stephanie_fairchild	NNP NNP	1	0
good~name	JJ NN	1	0
start_out	VB RP	1	0
hair_loss	NN NN	1	0
little~kids	JJ NNS	1	0
keep_it_up	VB PRP RP	1	0
giving_instructions	VBG NNS	1	0
self_service	NN NN	1	0
american_express	NNP NNP	1	0
pets_discount	NNPS NNP	1	0
blue_cross	NNP NNP	1	0
went_above_and_beyond	CC VBD RB CC	1	0
ny_jets	NNP NNPS	1	0
owner~operator	NN NN	1	0
soccer_mom	NN NN	1	0
bandera_road	NNP NNP	1	0
doctor_bogomilsky	NNP NNP	1	0
main_feature	JJ NN	1	0
go_on_and_on	VB RB RB CC	1	0
road_construction	NN NN	1	0
fixed_-_up	HYPH VBN HYPH	1	0
stumble_across	VB IN	1	0
sports_bar	NNS NN	1	0
cup_of_joe	NN IN NN	1	0
might_as_well	MD RB RB	1	0
coffee_store	NN NN	1	0
stand_around	VB RB	1	0
all_together	GW RB	1	0
work_staff	NN NN	1	0
back_yard	JJ NN	1	0
dance_floor	NN NN	1	0
hobby_lobby	NNP NNP	1	0
richmond_ukrops	NNP NNP	1	0
bascom_light_rail	NNP NNP NNP	1	0
taj_mahal	NNP NNP	1	0
went_so_far_as_to_say	VBD RB RB IN TO VB	1	0
high_hopes	JJ NNS	1	0
blackened_catfish	VBN NN	1	0
called_in_sick	VBD VBD RB	1	0
miss_informed	AFX JJ	1	0
got_upgraded_to	VBD VBN IN	1	0
treated_to	VBN IN	1	0
mouth_watering	NN VBG	1	0
winter_park	NNP NNP	1	0
burger~and~fries	NN CC NNS	1	0
mother_plucker	NNP NNP	1	0
other~way~around	JJ NN RB	1	0
mr._squeege	NNP NNP	1	0
made_time	VBD NN	1	0
was_a_big_baby	VBD DT JJ NN	1	0
locker_rooms	NN NNS	1	0
bus_lines	NN NNS	1	0
who_knows	WP VBZ	1	0
on_completion	IN NN	1	0
husband~and~wife	NN CC NN	1	0
vehicle_wrap	NN NN	1	0
japaneiro_'s	NNP POS	1	0
go_thru	VB IN	1	0
blue_water_bridges	NNP NNP NNPS	1	0
geno_'s	NNP POS	1	0
stressed_out	IN VBN	1	0
got_moved	VBD VBN	1	0
hair_cut	NN VBN	1	0
central_iowa	NNP NNP	1	0
morelias_enchiladas	NN NNS	1	0
new_york_style_pizza	NNP NNP NN NN	1	0
paid_attention	VBN NN	1	0
banana_split	NN NN	1	0
believe_it_or_not	VB PRP CC RB	1	0
21st_st	NNP NNP	1	0
a_dong	NNP NNP	1	0
better_off	JJR RP	1	0
the_better_part_of	DT JJR NN IN	1	0
get_results	VB NNS	1	0
treated_like_dirt	VBN IN NN	1	0
stepping_into	VBG IN	1	0
worst~of~all	RBS IN DT	1	0
carnegie_mellon	NNP NNP	1	0
to_bad	RB JJ	1	0
driving_force	VBG NN	1	0
shut_up	VB RP	1	0
around_the_clock	IN DT NN	1	0
orange_chicken	NN NN	1	0
fountain_dental_practice	NNP NNP NNP	1	0
printed_out	VBD RP	1	0
a_question_of	DT NN IN	1	0
grocery_stores	NN NNS	1	0
a_stretch	DT NN	1	0
made_good	VBN JJ	1	0
dried_out	VBN RP	1	0
sand_hill_park	NNP NNP NNP	1	0
from_begiinning_to_end	IN NN IN NN	1	0
visakha_industrial_gases_pvt._ltd.	NNP NNP NNPS NNP NNP	1	0
no_homo	DT NN	1	0
walk_against_drugs_and_alcohol	NNP IN NNPS CC NNP	1	0
step_it_up_another_notch	VBP PRP RP DT NN	1	0
pure_pilates	JJ NN	1	0
reccommend_to	VB IN	1	0
do~n't~be~surprised	VB RB VB JJ	1	0
bar_-_b_-_que	NN HYPH HYPH NN HYPH HYPH NN	1	0
leaves~a_lot~to_be_desired	VBZ DT NN TO VB VBN	1	0
went_on_a_trip	VBD IN DT NN	1	0
best_and_affordable_tour_operators_and_tours_agents	NNPS CC CC CC CC NNP CC CC	1	0
battery_park_pest	NNP NNP NNP	1	0
hurry_up	VB RP	1	0
sussman_kia	NNP NNP	1	0
walks_around	VBZ RB	1	0
you~better_believe	PRP RBR VB	1	0
go_down	VB RB	1	0
leon_'s	NNP POS	1	0
came_in_under	VBD RB IN	1	0
make_cash	VB NN	1	0
peking_garden	NNP NNP	1	0
e-commerce~solutions	NN NNS	1	0
pry_bar	NN NN	1	0
year_olds	NN NNS	1	0
having_fun	VBG NN	1	0
recommended_to	VBN IN	1	0
infra_structure	AFX NN	1	0
peachstate_powersports	NNP NNPS	1	0
garage_doors	NN NNS	1	0
warwick_township	NNP NNP	1	0
vcu_medical_center	NNP NNP NNP	1	0
jump_-_start	NN HYPH VB	1	0
getting_paid	VBG VBN	1	0
deep_conditioned	RB VBD	1	0
360_restraunt	CD NN	1	0
get_the_hell_out	DT DT VB DT	1	0
in_love_with	IN NN IN	1	0
home~renovation	NN NN	1	0
any_longer	RB RBR	1	0
mac_and_cheese	NN CC NN	1	0
is_a_nice_touch	DT VBZ DT JJ	1	0
stepped_up_to_the_plate	TO DT DT VBD RP	1	0
gare_du_nord	NNP NNP NNP	1	0
please_with	IN JJ	1	0
fran_pcs	NNP NNPS	1	0
went_the_extra_mile	VBD DT JJ NN	1	0
thank_god	VBP NNP	1	0
house_of_joy_chinese_restaurant	NN IN NNP NNP NNP	1	0
blooming_onion	VBG NN	1	0
written_in_stone	VBN IN NN	1	0
the_law_offices_of_dale_gribow	DT NN NNS IN NNP NNP	1	0
one_star	CD NN	1	0
go_the_extra_mile	VB DT JJ NN	1	0
drug~seeker	NN NN	1	0
veggie_dogs	NN NNS	1	0
can_not~wait	MD RB VB	1	0
mediocre~at_best	JJ RB RBS	1	0
rusted_out	VBN RP	1	0
ufc_fighter	NNP NN	1	0
is_no_more	VBZ VBZ RB	1	0
fashion_accessories	NN NNS	1	0
going_through	VBG IN	1	0
chili_s	NNP POS	1	0
on_call	IN NN	1	0
been_through	VBN IN	1	0
bites_the_dust	VBZ DT NN	1	0
on_the_other_hand	IN DT JJ NN	1	0
saginaw~,~michigan	NNP , NNP	1	0
ted_jurek	NNP NNP	1	0
social_security_numbers	JJ NN NNS	1	0
high~class	JJ NN	1	0
blue_book	NNP NNP	1	0
warmed_up	VBN RP	1	0
cuts_down	VBZ RP	1	0
driving_in	VBG RB	1	0
out_of~the~way	DT IN IN IN	1	0
drug~seekers	NN NNS	1	0
on_hold	IN NN	1	0
checked_back	VBD RB	1	0
in_essence	IN NN	1	0
depending_on	VBG IN	1	0
left_a_lot_to_be_desired	VBD DT NN TO VB VBN	1	0
here_'s_the_scoop	RB VBZ DT NN	1	0
doing_business_with	VBG NN IN	1	0
allen_tire	NNP NNP	1	0
do~n't~even~think~about	VBP RB RB VB IN	1	0
holy_cow	JJ NN	1	0
oxford_,_england	NNP , NNP	1	0
must~read	MD VB	1	0
kansas_city	NNP NNP	1	0
pulled_over	VBN RB	1	0
locker_room	NN NN	1	0
in_need_of	IN NN IN	1	0
concrete~facts	JJ NNS	1	0
goes_through	VBZ IN	1	0
filler_vegetables	NN NNS	1	0
professional_help	JJ NN	1	0
sun_toyota	NNP NNP	1	0
gas_mileage	NN NN	1	0
shrimp_satay	NN NN	1	0
call_in	VB RP	1	0
ran_rough	VBD RB	1	0
arancini_di_riso	NN NN NN	1	0
holiday_dinner	NN NN	1	0
out_-_of_-_place	IN HYPH HYPH IN HYPH HYPH NN HYPH HYPH	1	0
richard_joule	NNP NNP	1	0
hitting_up	VBG RP	1	0
these_days	DT NNS	1	0
rub_it_it	VB PRP PRP	1	0
feel_like_it	VBP IN PRP	1	0
vintage_hostel	NNP NNP	1	0
grammar_structure	NN NN	1	0
sheet_metal	NN NN	1	0
test_drives	NN NNS	1	0
all_round	RB RB	1	0
without_a_doubt	IN DT NN	1	0
amelia_gentle_dentistry	NNP NNP NNP	1	0
computer_people	NN NNS	1	0
came_and_went	CC VBD CC	1	0
ncaa_final_4	NNP JJ CD	1	0
spaghetti_alla_barese	NN NN NN	1	0
plan~of~action	NN IN NN	1	0
spot_on	JJ JJ	1	0
strobe_light	NN NN	1	0
hr_office	NNP NNP	1	0
buckingham_condominiums	NNP NNPS	1	0
sitting_around	VBG RB	1	0
checked_on	VBD IN	1	0
came_time	VBD NN	1	0
leave_it_at_that	VB PRP IN DT	1	0
yet_again	RB RB	1	0
bayside_chiropractic	NNP NNP	1	0
local~authorities	JJ NNS	1	0
get_in_touch_with	IN VB IN NN	1	0
cigar_lounge	NN NN	1	0
top_-_ranked	NN HYPH VBN	1	0
enchilada_sauce	NN NN	1	0
second_chance	JJ NN	1	0
aortic_stenosis	JJ JJ	1	0
west_valley	NNP NNP	1	0
to_go~box	TO VB NN	1	0
law_offices_of_armando_villega	NNP NNPS IN NNP NNP	1	0
whether_or_not	IN CC RB	1	0
team_texas_construction	NNP NNP NNP	1	0
prudential_steamboat_realty	NNP NNP NNP	1	0
carried_out	VBD RP	1	0
has~come~a~long~way	VBZ VBN DT JJ NN	1	0
give_and_take	NN CC NN	1	0
david_bundren	NNP NNP	1	0
toned_down	VBN RP	1	0
put_on_hold	VBN IN NN	1	0
add_insult_to_injury	VB NN IN NN	1	0
was~wrong_with	VBD JJ IN	1	0
family_business	NN NN	1	0
next_-_door_neighbor	JJ HYPH NN NN	1	0
quite~a_while	RB PDT DT	1	0
sales_person	NN NNS	1	0
the_gables	DT DT	1	0
on_line	IN IN	1	0
short_with	JJ IN	1	0
wal_mart	NNP NNP	1	0
dead_on	JJ JJ	1	0
got~yelled_at	VBD VBN IN	1	0
take_all_of	VB DT IN	1	0
united_air_duct	NNP NNP NNP	1	0
wait~person	NN NN	1	0
tiger_heating	NNP NNP	1	0
presented_with	IN VBN	1	0
taking_care_of	IN VBG NN	1	0
india_heritage_tours	NNP NN NNS	1	0
break_the_bank	DT VB DT	1	0
come_out	VB RB	1	0
wedding_gallery	NNP NNP	1	0
tell_the_truth	VB DT NN	1	0
come_down	VB RB	1	0
had_a_problem_with	VBD DT NN IN	1	0
solana_beach	NNP NNP	1	0
scrap_metal	NN NN	1	0
hold_up	VB RP	1	0
well_known	RB VBN	1	0
all_kidding_aside	DT NN RB	1	0
get_a_flat	VBP DT NN	1	0
referring_to	VBG IN	1	0
one_more_thing	CD JJR NN	1	0
in_deed	IN GW	1	0
were_out_of	VBD IN IN	1	0
on_my_way	IN PRP$ NN	1	0
do_n't_even_get_me_started	VBP RB RB VB PRP VBN	1	0
2004_x_-_type	CD NN HYPH NN	1	0
in_addition~to	IN NN IN	1	0
hoa_salon	NNP NNP	1	0
bay_ridge	NNP NNP	1	0
i~might~add	PRP MD VB	1	0
car_accident	NN NN	1	0
number_1	NN CD	1	0
hair~style	NN NN	1	0
record_label	NN NN	1	0
springfield_,_il	NNP , NNP	1	0
i_move_ca_-_los_angeles_movers	PRP PRP VBP NNP HYPH NNP NNP	1	0
bon_appetit	UH UH	1	0
that_'s_amore	DT VBZ NNP	1	0
hustle_and_bustle	NN CC NN	1	0
gold_coast	NNP NNP	1	0
atlantic_wireless	NNP NNP	1	0
new_yorkedness	NN NN	1	0
great_deal_of	JJ NN IN	1	0
high_-_rise	JJ HYPH NN	1	0
able~and~willing	CC JJ CC	1	0
ten_stars$1	CD	1	0
based_in	VBN IN	1	0
go_ahead	VB RB	1	0
getting_older	VBG JJR	1	0
a_ward_dance_centre	GW NNP NNP NNP	1	0
thought~of	VBD IN	1	0
auto_shops	NN NNS	1	0
yampa_valley	NNP NNP	1	0
travels~the~world	DT VB DT	1	0
satellite_tv	NN NN	1	0
sardine_can	NN NN	1	0
just_like_family	NNP NNP NNP	1	0
french_tips	JJ NNS	1	0
craft_wonderland	NN NN	1	0
surprised_at	IN JJ	1	0
in_this_day_and_age	IN DT NN CC NN	1	0
proud~owner	JJ NN	1	0
wine_tasting	NN NN	1	0
down_side	NN NN	1	0
windsheild_washer_fluid	NN NN NN	1	0
caffe_bella_italia	NNP NNP NNP	1	0
roger_m.	NNP NNP	1	0
juno_and_open	NNP CC NNP	1	0
happier_with	JJR IN	1	0
dr._faris	NNP NNP	1	0
rachel_mcinnis	NNP NNP	1	0
on_a_budget	IN DT NN	1	0
fried_plantains	VBN NNS	1	0
at_peace	IN NN	1	0
spring_rolls	NNS NN	1	0
have~something~to~hide	VBP NN TO VB	1	0
electric_outlet	JJ NN	1	0
3_fold	CD NN	1	0
up~-~and~-~down	JJ HYPH HYPH CC HYPH HYPH JJ	1	0
tight_corners	JJ NNS	1	0
mackinaw_tourist	NNP NNP	1	0
a_class_garage_doors_dr_services	NNP NNP NNP NNPS NN NNS	1	0
get_along_with	VB RB IN	1	0
room~key	NN NN	1	0
get_evened_up	VB VBN RP	1	0
german_bedding	JJ NN	1	0
common~misconception	JJ NN	1	0
damage_to	NN IN	1	0
the_looking_glass	DT NNP NNP	1	0
made_a_point~of	VBD DT NN IN	1	0
phet_and_g&g_automotive	NNP CC NNP NNP	1	0
drs._ali	NNP NNP	1	0
mom_/_pop	NNP HYPH NNP	1	0
la_crosse	NNP NNP	1	0
samantha_fox	NNP NNP	1	0
ice_machine	NN NN	1	0
sticks_up	VBZ RP	1	0
patio_world	NNP NNP	1	0
giovanni_ristorante	NNP NNP	1	0
no~big_deal	DT JJ NN	1	0
healthy_dose	JJ NN	1	0
window_panes	NN NNS	1	0
stick_to	VB IN	1	0
laid_-_back	JJ HYPH JJ	1	0
playing~music	VBG NN	1	0
hit_or_miss	NN CC NN	1	0
great~guy	JJ NN	1	0
saratoga_springs	NNP NNPS	1	0
massage~therapist	NN NN	1	0
take_away	NN NN	1	0
half_truths	JJ NNS	1	0
get~in_touch~with	VB IN NN IN	1	0
renton~wa	NNP NNP	1	0
added~bonus	VBN NN	1	0
a_nervous_wreck	DT DT JJ	1	0
had_a_pedicure	VBD DT NN	1	0
off_road~parking	IN NN NN	1	0
taken_off	VBN RP	1	0
test_drove	NN VBD	1	0
repeat_customers	JJ NNS	1	0
midtown_reston	NNP NNP	1	0
us_news	NNP NNP	1	0
dealing_in	VBG IN	1	0
shopping_center	NN NN	1	0
bathing_suit	NN NN	1	0
san_francisco	NNP NNP	1	0
catch_up	VB RP	1	0
for~free	IN JJ	1	0
argued_with	VBD IN	1	0
happened_on_to	VBD IN IN	1	0
class_act	NN NN	1	0
new_yorker	NNP NNP	1	0
get_mad_at	VBP JJ IN	1	0
service_papers	NN NNS	1	0
sit_-_abouts	NN HYPH NNS	1	0
had_a_problem	VBD DT NN	1	0
n't~let~that~fool~you	RB VB DT VB PRP	1	0
big_toes	JJ NNS	1	0
scott_larson	NNP NNP	1	0
suzanne_,_vancouver	NNP , NNP	1	0
family_practice	NN NN	1	0
african_-_american	JJ HYPH JJ	1	0
at~all~times	IN DT NNS	1	0
listens_to	VBZ IN	1	0
get_jack	VB VBN	1	0
2010_hyundai_genesis	CD NNP NNP	1	0
above_all	IN DT	1	0
nail_drill	NN NN	1	0
living_room	NN NN	1	0
associated~with	VBN IN	1	0
lo_mein	NN NN	1	0
smokehouse_burger	NN NN	1	0
4_-_ever	GW HYPH RB	1	0
happened_in	VBD RB	1	0
fallen_in_luv_with	VBN IN NN IN	1	0
gift_card	NN NN	1	0
lake_st._louis	NNP NNP NNP	1	0
been_there_for	VBN RB IN	1	0
grocery_shop	NN NN	1	0
steep~prices	JJ NNS	1	0
bench_test	NN VB	1	0
britt_'s	NNP POS	1	0
ball_square_cafe	NNP NNP NNP	1	0
art_school	NN NN	1	0
kid_meal	NN NN	1	0
tried_to_tell	VBD TO VB	1	0
stop_making_sense	VB VBG NNP	1	0
the_next_big_thing	DT JJ JJ NN	1	0
santa_rosa	NNP NNP	1	0
think_so	VB RB	1	0
birthday_parties	NN NNS	1	0
brain_dead	NN JJ	1	0
tea~backs	NN NNS	1	0
service_fee	NN NN	1	0
barn_dance	NN NN	1	0
sweet_as_pie	JJ IN NN	1	0
comes_through	VBZ RP	1	0
environmentally~conscious	RB JJ	1	0
pat_testing	NNP NNP	1	0
money_hungry	NN JJ	1	0
give_up	VB RP	1	0
2010_genesis	CD NNP	1	0
feel_like_a_number	VB IN DT NN	1	0
in_and_out	NNP CC NNP	1	0
allentown_post_office	NNP NNP NNP	1	0
garbage_bags	NNS NN	1	0
were_in_for_a_treat	VBD IN IN DT NN	1	0
kc_chiefs	NNP NNPS	1	0
shower_heads	NN NN	1	0
around~the~edges	DT IN DT	1	0
adding~to	VBG IN	1	0
london_aquarium	NNP NNP	1	0
were_the_epitome_of	DT VBD DT NN	1	0
got_to_me	TO VBD IN	1	0
identity_theft	NN NN	1	0
new_york_pizza	NNP NNP NN	1	0
c'm_on	VB RB	1	0
mezza_luna's	NN NNS	1	0
tea_spoon	NN NN	1	0
cup_of_coffee	NN IN NN	1	0
jamaica_way	NNP NNP	1	0
ball_pit	NN NN	1	0
buffalo_wings	NNP NNS	1	0
cleaning_lady	NN NN	1	0
the_world_revolves_around	DT NN VBZ IN	1	0
mobile_number	NN JJ	1	0
reeks_of	VBZ IN	1	0
ralph_'s	NNP POS	1	0
get_in_the_door	DT DT DT VB	1	0
quite_a_bit	PDT DT NN	1	0
stokes_street	NNP NNP	1	0
started_out	VBD RP	1	0
easy~mark	JJ NN	1	0
family~oriented	NN JJ	1	0
was_a_no_brainer	VBD DT NN NN	1	0
costumer_service	NN NN	1	0
high_class	JJ NN	1	0
summer~vacations	NN NNS	1	0
go_out_of_business	VB IN IN NN	1	0
right~then~and~there	RB RB CC RB	1	0
was_a_nightmare	VBD DT NN	1	0
take_time_off_of	VB NN IN IN	1	0
rod_jacobsen	NNP NNP	1	0
cycle_city	NNP NNP	1	0
one_by_one	CD CD IN	1	0
a_little_bit	DT JJ NN	1	0
shell_out	VB RP	1	0
more_often_than_not	RBR RB IN RB	1	0
good_luck	JJ NN	1	0
branch_out	VB RP	1	0
stretch_of_the_imagination	NN IN DT NN	1	0
wash_'n_fold	VB CC VB	1	0
car_wash	NN NN	1	0
fire_alarm	NN NN	1	0
console_pros	NNP NNPS	1	0
olive_garden	NNP NNP	1	0
hung_up_on	VBD RP IN	1	0
get~taken_in	VB VBN RB	1	0
steele_electric	NNP NNP	1	0
hands_on	NNS RB	1	0
take_it	VB PRP	1	0
out_to_eat	RB TO VB	1	0
found~a~spot	VBD DT NN	1	0
interior_mall	NNP NNP	1	0
sure_enough	RB RB	1	0
went_with	VBD IN	1	0
drop_off	VBP RP	1	0
sales_pitch	NNS NN	1	0
price_tag	NN NN	1	0
set_out	VBD RP	1	0
good~or~bad	JJ CC JJ	1	0
you_ca_n't_beat_this	PRP PRP MD RB VB	1	0
stands_the_test_of_time	VBZ DT NN IN NN	1	0
waiting_room	NN NN	1	0
spring_mountain	NNP NNP	1	0
tussey_mountain_tree_plantation	NNP NNP NNP NNP	1	0
over_charged	AFX VBN	1	0
buyer~beware	NN VB	1	0
on_shelf	IN NN	1	0
hang_out	VB RP	1	0
old_time	JJ NN	1	0
lawrence~,~ks	NNP , NNP	1	0
who_gives_a_crap	DT WP VBZ DT	1	0
braman_honda	NNP NNP	1	0
behind_the_wheel	IN DT NN	1	0
taking_into_account	VBG IN NN	1	0
scharffen_berger	NNP NNP	1	0
michelin_star	NNP NN	1	0
grandma_slice	NN NN	1	0
too_much_trouble	RB JJ NN	1	0
east_coast	JJ NN	1	0
primary_care	JJ NN	1	0
trust_the_midas_touch	VB DT NNP NN	1	0
up_to_date	IN IN NN	1	0
witness_protection_program	NN NN NN	1	0
hard~working	RB VBG	1	0
sit_up	VB RP	1	0
pass_the_time	VB DT NN	1	0
sofa_bed	NN NN	1	0
out_of_control	IN IN NN	1	0
back_and_forth	RB CC RB	1	0
dr._olbina	NNP NNP	1	0
utc_la_jolla	NNP NNP NNP	1	0
out_front	RB RB	1	0
