#MWE	annotated	not-annotated
" falling off	1	0
96 well plate	1	0
A. M. Ph.D.	1	0
able bodied	1	0
academic position	1	0
academic standards	1	0
Academy Award-winning	1	0
achieved a considerable success	1	0
acid forming	1	0
acquaintances he made	1	0
acting job	1	0
action trigger levels	1	0
ad agency jingles	1	0
administration draft legislation	1	0
administrative law	1	0
adult education classes	1	0
adult life	1	0
adult standards	1	0
advance cheque	1	0
advances made	1	0
Advisor on Human Rights	1	0
advisory board	1	0
aerial combat scenes	1	0
aerial pioneer	1	0
African American	1	0
afternoon drive	1	0
afternoon host	1	0
afternoon shift	1	0
agar surface	1	0
agrégé professor	1	0
agricultural businessman	1	0
agricultural college	1	0
agricultural company	1	0
agricultural cooperative leader	1	0
Agricultural Engineer	1	0
agricultural experiment station	1	0
agricultural show	1	0
aid station	1	0
AIDS crisis	1	0
AIDS epidemic	1	0
AIDS vaccine	1	0
AIDS virus	1	0
air fare	1	0
air force	1	0
airmen staff members.	1	0
alcohol poisoning	1	0
aliphatic carboxylic acids	1	0
aliphatic sulfonic acid groups	1	0
all-news internet station	1	0
alpha particles	1	0
alter ego	1	0
alternative energy	1	0
AM frequency	1	0
AM radio station	1	0
amateur photographer	1	0
Amateur radio repeaters	1	0
amateur radio world	1	0
amateur side	1	0
ambulance company dispatching	1	0
ambulant disabled	1	0
American football match	1	0
amine groups	1	0
amino acid extraction process	1	0
amino groups	1	0
amplification system	1	0
amplifier disks	1	0
amplifier glass	1	0
Analytical laboratories	1	0
anarchist communism	1	0
ancient times	1	0
android nun	1	0
Aniline blue	1	0
animal experiments	1	0
animal models	1	0
animal specimens	1	0
animal tissue	1	0
animation / cartooning historian	1	0
anime series	1	0
anion exchange	1	0
anion exchange cartridge	1	0
Anion exchange sorbents	1	0
annual economic growth	1	0
annual subsidy	1	0
anti-corruption team	1	0
anti-faith bias	1	0
anti-government demonstrations	1	0
anti-oxidant system	1	0
anti-Vietnam War effort	1	0
anti-war activism	1	0
anti-war protests	1	0
AOT instructor	1	0
aqueous solution	1	0
aqueous solutions	1	0
are better off	1	0
army drill hall	1	0
art museum	1	0
art schools	1	0
arterial route	1	0
arterial routes	1	0
article of faith	1	0
artificial intelligence	1	0
artist hermit	1	0
artistic expression	1	0
asked	1	0
asked forgiveness	1	0
assault rifle	1	0
asset administration	1	0
assistant coach	1	0
assistant editor	1	0
assistant programmer	1	0
Assistant United States Attorney	1	0
assisted living home	1	0
association football stadium	1	0
associative life	1	0
athletics meetings	1	0
atmospheric gases	1	0
ATP assay	1	0
ATP test	1	0
ATP tests	1	0
attack patterns	1	0
attempt was made	1	0
attempted murder.	1	0
attorney general candidacy	1	0
attracted notice	1	0
attracting notice	1	0
audio CDs	1	0
audio channel	1	0
audio muting control voltage	1	0
audio output	1	0
audio tracks	1	0
audit findings	1	0
audit investigations	1	0
automobile accident	1	0
automobile components	1	0
automobile repair company	1	0
aviation-cadet program	1	0
away fans	1	0
Axis power	1	0
baby bonnet	1	0
baby formula	1	0
baccalauréat degree	1	0
bachelor of arts degree	1	0
back child support	1	0
back country.	1	0
back lot	1	0
back pack	1	0
background areas	1	0
background check	1	0
background information	1	0
backing away	1	0
Backing off	1	0
bacterial growth	1	0
bacterial species	1	0
Bacteriological water analysis	1	0
balanced out	1	0
ballroom dancing.	1	0
band openings	1	0
bank bag	1	0
bank branches	1	0
bank charter	1	0
banqueting facilities	1	0
Barnes Dance	1	0
barrel length	1	0
barrier penetration	1	0
base stations	1	0
baseball games	1	0
bathroom fittings manufacturers	1	0
battle front	1	0
battle strategies	1	0
battle weary	1	0
be away	1	0
beam bay	1	0
beamline room	1	0
bear hug	1	0
Beat culture	1	0
beat each other	1	0
best-selling author	1	0
bestselling author	1	0
better known	1	0
big bang	1	0
big head disease	1	0
big screen	1	0
bile salts	1	0
Bile salts	1	0
biological concentration	1	0
biological energy	1	0
Birth Asphyxia	1	0
birth name	1	0
black holes	1	0
blew	1	0
blog entries	1	0
blood bath	1	0
blood pudding	1	0
blood ritual	1	0
blotter acid	1	0
blown apart	1	0
blue note	1	0
board of directors	1	0
boarding school	1	0
bodily harm	1	0
body armor	1	0
body bag	1	0
body cooling	1	0
body count	1	0
body temperature	1	0
body temperatures	1	0
booby trapped	1	0
book offers	1	0
book reviewer	1	0
book reviews	1	0
boom mikes	1	0
boss fight	1	0
boss fights	1	0
botanical garden	1	0
bottle labels	1	0
boundary limits	1	0
bowling alley	1	0
box art	1	0
Boy scouts	1	0
Brain hypothermia	1	0
brain injury	1	0
brain tissue damage	1	0
break	1	0
breaking into laughter	1	0
breaks down	1	0
breath control	1	0
bring him down	1	0
brings negative	1	0
broadcasting interests	1	0
broke	1	0
broke away	1	0
broke the strike	1	0
broken off	1	0
broken up	1	0
brought a motion	1	0
brought about	1	0
brought an end	1	0
brought him in contact	1	0
brought that quality out	1	0
brought up	1	0
bubble tea	1	0
budget deficit	1	0
building society	1	0
building up	1	0
built up	1	0
bullet wound	1	0
bunny slippers	1	0
burial plots	1	0
bursts into tears	1	0
bus station	1	0
Bush-Cheney gang	1	0
business areas	1	0
business center	1	0
business cycles	1	0
business licenses	1	0
business news reporters	1	0
business partner	1	0
business tourism	1	0
button presses	1	0
cabinet colleague	1	0
cabinet colleagues	1	0
cabinet material	1	0
cabinet meetings	1	0
cabinet members	1	0
cabinet ministers	1	0
cable television	1	0
cadre members	1	0
calcium entry inhibitor	1	0
called to	1	0
called up	1	0
calling him derogative humor names	1	0
calling on	1	0
came about	1	0
came back	1	0
came into his own	1	0
came later into	1	0
came to an end	1	0
came under fire	1	0
came up	1	0
campaign chairman	1	0
campaign manager	1	0
campaign team	1	0
campaign work	1	0
cantilever roof	1	0
cantilever stand	1	0
capitalist states	1	0
capitol city	1	0
capped off	1	0
car doors	1	0
car park	1	0
car sale yards	1	0
carbon chains	1	0
carbon copies	1	0
carbon dioxide	1	0
carbon monoxide leak	1	0
carbons chains	1	0
carboxyl groups	1	0
Cardboard bun	1	0
cardboard targets	1	0
cardiac surgery	1	0
carried away	1	0
carried off	1	0
carried out.	1	0
Carrier squelch	1	0
carrier squelch receiver	1	0
cartridge SPE manifold	1	0
caspase activity	1	0
cast aside	1	0
castle towns	1	0
catch on	1	0
catchment area	1	0
catering officer	1	0
cation exchange	1	0
cation exchange cartridge	1	0
Cation exchange sorbents	1	0
caucus meeting	1	0
caught the eye	1	0
cause and effect	1	0
CD player	1	0
cease-fire agreement	1	0
cell membrane ionic transport failure	1	0
cell suicide	1	0
cell suicide programme	1	0
cellular organelles	1	0
central figures	1	0
centralized government	1	0
centre of learning	1	0
cerebral biochemical disturbance	1	0
cerebral cortical activity	1	0
cerebral energy metabolism	1	0
cerebral function	1	0
cerebral game	1	0
cerebral high energy phosphates	1	0
cerebral hypoxia	1	0
Cerebral hypoxia-ischaemia	1	0
cerebral hypoxia-ischaemia	1	0
cerebral impedance	1	0
cerebral injury	1	0
cerebral lactic acidosis	1	0
cerebral oxidative metabolism	1	0
cerebral perfusion	1	0
champ car	1	0
change hands	1	0
changes her mind	1	0
charge d'affaires	1	0
chargé d'affaires	1	0
chatting her	1	0
cheat code	1	0
cheek piece	1	0
cheerleading squad	1	0
chemical additives	1	0
chemical content	1	0
chemical plants	1	0
chess pieces	1	0
Chief Constable	1	0
Chief Executive Officer	1	0
chief general	1	0
chief justice	1	0
chief justice.	1	0
chief negotiator	1	0
Chief Petty Officer	1	0
child of nature	1	0
childhood friend	1	0
childhood given name	1	0
childhood perceptions	1	0
children 's television	1	0
chili sauce	1	0
chilli paste	1	0
chirped pulse amplification	1	0
choral composition	1	0
chorus girl	1	0
church ) hierarchies	1	0
church documentation	1	0
CIA agent	1	0
circuit function	1	0
city budget	1	0
city garbage workers	1	0
city officials	1	0
city suburb	1	0
city wall	1	0
civil community	1	0
civil government	1	0
civil law tradition	1	0
civil rights	1	0
civil rights activist	1	0
civil rights issues	1	0
clan castellan	1	0
class committees	1	0
class conflict	1	0
class President	1	0
Class reforms	1	0
class structure	1	0
classic philosophy	1	0
classical music broadcasting	1	0
classical music programs	1	0
classical music radio station	1	0
classical music show	1	0
classical musical	1	0
classical musical station	1	0
classical record library	1	0
cleaned up	1	0
cleaning up	1	0
clear space	1	0
Clerks of Court	1	0
climbed up	1	0
clinical use	1	0
clock tower	1	0
clothing merchant	1	0
club president	1	0
club record	1	0
club store	1	0
co-channel users	1	0
coagulation cascades	1	0
coalition government	1	0
cocaine use	1	0
cold war politics	1	0
coliform organisms	1	0
colleague fiddlers	1	0
collection rate	1	0
collective marketing	1	0
collectivist anarchism	1	0
college degree	1	0
colony count	1	0
colony forming units	1	0
color scheme	1	0
colour change	1	0
combat gear	1	0
combat testing	1	0
combo operation	1	0
come into play	1	0
come out of the closet	1	0
come to a halt	1	0
come to public attention	1	0
come up	1	0
comeback victory	1	0
comes across	1	0
comes out	1	0
comes through	1	0
comic book illustrators	1	0
comic books	1	0
comic relief	1	0
comic strip characters.	1	0
comic writer	1	0
coming along	1	0
coming into its own	1	0
coming out	1	0
coming out of the closet	1	0
coming strongly back	1	0
Coming to terms	1	0
Command area	1	0
commercial radio stations	1	0
commercial shipping traffic	1	0
Commissioner of Church Education	1	0
Commissioners of Agriculture	1	0
commit	1	0
commits	1	0
committed	1	0
committed the robbery	1	0
committee meeting	1	0
committee members	1	0
Committee Room	1	0
committing	1	0
common law system	1	0
common people	1	0
common salt	1	0
common-law wife	1	0
communication device	1	0
community crime watch.	1	0
company face	1	0
completion percentage	1	0
compound wall	1	0
computer age	1	0
Computer industries	1	0
computer model	1	0
computer models	1	0
concentration camps	1	0
concrete terracing	1	0
conference championships	1	0
Confidence Interval	1	0
confidential assistant	1	0
congressional aide	1	0
congressional candidates	1	0
consideration was given	1	0
constitutional body	1	0
constitutional convention	1	0
constitutional form	1	0
constitutional law	1	0
construction costs	1	0
construction phase	1	0
construction projects	1	0
consultancy period	1	0
consulting business	1	0
contributed many legal opinions	1	0
control arrangements	1	0
control group	1	0
control point	1	0
convenience store	1	0
convention center	1	0
conviction rate	1	0
cooking pot	1	0
cool down	1	0
cooling fraternity	1	0
cooperative research	1	0
copy boy	1	0
core group	1	0
corn starch	1	0
corporate farm	1	0
costume choice	1	0
cotton plantation	1	0
country fiddler	1	0
country place	1	0
county commission	1	0
county commissioner	1	0
county cricket grounds	1	0
county detail	1	0
county feasts	1	0
couples pornography	1	0
coupling efficiency	1	0
court clerk	1	0
court litigation	1	0
court surgeon	1	0
court system	1	0
courtroom lawyer	1	0
Covenant schools	1	0
cover art	1	0
cover stories	1	0
covers them	1	0
cowboy hat	1	0
CPA laser	1	0
crew cut	1	0
cricket ground	1	0
cricket pitch	1	0
crime she did n't	1	0
crime stories	1	0
criminal activities	1	0
criminal investigation bureau	1	0
criminal investigations	1	0
criminal sheriff	1	0
crisis theory	1	0
crosstown rival	1	0
cry out	1	0
crystal violet	1	0
Cult Hero	1	0
Cult practices of various groups were also held	1	0
cult status	1	0
cultural institution	1	0
cultural legacy	1	0
cultural life	1	0
cultural movements	1	0
cultural organization	1	0
culture medium	1	0
culture methods	1	0
customary right	1	0
cut	1	0
cut away	1	0
cut her	1	0
cut off	1	0
cut short	1	0
cutting corners	1	0
cyborg design	1	0
cytochrome c translocation	1	0
cytochrome-c release	1	0
cytotoxic oedema	1	0
D.A. office funds	1	0
daily life	1	0
daily newspaper comic strip	1	0
dairy pools	1	0
dark energy	1	0
data collection	1	0
data presentation	1	0
date settings	1	0
dead body	1	0
debt load	1	0
declaration of independence	1	0
deep space	1	0
default area	1	0
defense grids	1	0
defense purposes	1	0
defense security	1	0
defensive force fields	1	0
defensive force shields	1	0
Delayed brain injury	1	0
delayed cell death	1	0
delayed post-ischaemic cell death	1	0
demands were made	1	0
demands were not	1	0
democratic republic	1	0
densely populated	1	0
Deputy Constable	1	0
deputy editor	1	0
desert front	1	0
desert world	1	0
detective stories	1	0
developed nations	1	0
develops feelings	1	0
did a survey	1	0
did a very careful and thorough research	1	0
did his basic training	1	0
died down	1	0
diffraction gratings	1	0
dipotassium phosphate	1	0
direct action missions	1	0
direct drive approach	1	0
directly proportional	1	0
dirt late models	1	0
disc jockey	1	0
discussion groups	1	0
disk SPE manifold	1	0
dissertation debates	1	0
distress conditions	1	0
District Attorney	1	0
District Dispatcher	1	0
ditch attempt	1	0
dividing line	1	0
divine grace	1	0
diving physics	1	0
divorce case	1	0
divorce lawyer	1	0
divorce papers	1	0
divorce proceedings	1	0
do business	1	0
doctor of medicine	1	0
domestic subjects	1	0
double floppy disk form	1	0
double teamed	1	0
Dow Jones-owned	1	0
down payment	1	0
down played	1	0
draft response	1	0
dragon mask	1	0
drama department	1	0
Drama department	1	0
draw in	1	0
draw inferences	1	0
draw the attention	1	0
drawing the ire	1	0
drawing the plans	1	0
draws his main support	1	0
draws most of its support	1	0
dream scene	1	0
dress designer	1	0
dressing rooms	1	0
Dressing rooms	1	0
drew another wave of protests	1	0
drew heavily on his	1	0
drew the attention	1	0
drink and drive	1	0
drink glass	1	0
drinking glass	1	0
drive around	1	0
driver 's license	1	0
driver laser	1	0
driver performance	1	0
driver section	1	0
drop out	1	0
drop zone	1	0
dropped a bid	1	0
dropped off	1	0
dropped out	1	0
drops out	1	0
Drought Relief Commissioner	1	0
drove six of them off	1	0
drug circles	1	0
drug dealer	1	0
drug dealers	1	0
drug legalization	1	0
drug manufacturers	1	0
drug manufacturing facilities	1	0
drug quality inspectors	1	0
drug store	1	0
drug testing	1	0
drug usage	1	0
drunk driving	1	0
dry season	1	0
duck meat	1	0
Easter eggs	1	0
eastern bloc	1	0
eastern block	1	0
economic conditions	1	0
economic desister	1	0
economic frenzy	1	0
economic growth	1	0
economic incentives	1	0
economic potential	1	0
economic slump	1	0
economic system	1	0
economical conditions	1	0
edible mushrooms	1	0
editorial team	1	0
education law	1	0
education question	1	0
education reform controversy	1	0
Education Superintendent	1	0
educational philosophy	1	0
educational policies	1	0
educational system	1	0
effect size	1	0
egalitarian democracy	1	0
egg products	1	0
egg yolks	1	0
election campaigns	1	0
election day	1	0
election fraud	1	0
election platform	1	0
election victory	1	0
electoral system	1	0
electrical grid	1	0
electronics company	1	0
electrostatic interaction	1	0
electrostatic interactions	1	0
elementary education	1	0
elk antlers	1	0
emancipated minor	1	0
emergency cord	1	0
emergency operation	1	0
employment opportunities	1	0
employment taxes	1	0
end up	1	0
ENDO medium	1	0
endocrine studies	1	0
enemy placement	1	0
enemy snipers / designated marks men	1	0
enemy territory	1	0
enemy weapons	1	0
energy consumption	1	0
energy crises	1	0
energy delivery	1	0
energy fields	1	0
energy fire	1	0
energy profile	1	0
energy requirements	1	0
engineering staff	1	0
engineering structure	1	0
entered into an agreement	1	0
environmental catastrophe	1	0
epic fantasy adventure	1	0
epigraphic evidence	1	0
epistemological break	1	0
equipment company	1	0
ersatz bomb	1	0
escape pod	1	0
essay collection	1	0
eternal rest	1	0
eternal youth	1	0
event centers	1	0
ex-New Englander	1	0
excavation site	1	0
excess production	1	0
excitatory amino acids	1	0
excitatory neurotransmitter	1	0
excitedly written	1	0
excitiotoxic cascade	1	0
excitoxin receptor antagonist	1	0
executive director	1	0
exit route	1	0
expectations he had	1	0
experiment area	1	0
experimental chambers	1	0
experimental device	1	0
experimental system	1	0
experimentalist group	1	0
experiments models	1	0
explodes off	1	0
exploration elements	1	0
explosives enthusiast	1	0
expressed a wish	1	0
expressed an interest	1	0
expressed their impatience	1	0
expresses disappointment	1	0
extended editions	1	0
extension efforts	1	0
extraction manifold	1	0
extraction process	1	0
factory owner	1	0
factory teams	1	0
faint pink	1	0
fairground attraction	1	0
fait accompli	1	0
faith conflicts	1	0
fall into private hands	1	0
fall into sin	1	0
falling in love	1	0
falls apart	1	0
falls in	1	0
family area	1	0
family background	1	0
family clans	1	0
family friend	1	0
family history	1	0
family member	1	0
family owned	1	0
family seating	1	0
family ways	1	0
famine conditions	1	0
fantasy novel	1	0
fantasy series	1	0
farewell wishes	1	0
farm machinery	1	0
farming skills	1	0
Fast ignition	1	0
fast ignition approach	1	0
fast ignition fusion	1	0
father-son bond	1	0
fax machines	1	0
FBI Special Agents	1	0
FBI team	1	0
feast days	1	0
feat of bravery	1	0
feature film	1	0
feature films	1	0
feature wins	1	0
federal agencies	1	0
federal counsel	1	0
federal Minister of the Interior	1	0
federal politics	1	0
fell down	1	0
fell in love	1	0
fell through	1	0
fellow activists	1	0
fellow colleague	1	0
fellow lifeforms	1	0
felony cases	1	0
felony murder charges	1	0
feudal societies	1	0
FIA sanctioned	1	0
field equations	1	0
field goal	1	0
field kitchens	1	0
field marshal	1	0
field office	1	0
field spell card	1	0
fighting strength	1	0
figure out	1	0
figured out	1	0
filed charges	1	0
fill out	1	0
film actors	1	0
film continuation	1	0
film historian	1	0
film productions	1	0
finacional centers	1	0
final exams	1	0
financial center	1	0
financial centre	1	0
financial failure	1	0
financial services	1	0
financial situation	1	0
financial stability	1	0
finds out	1	0
fine arts student	1	0
fire escape	1	0
firearms factory	1	0
firefly enzyme	1	0
firm believer	1	0
first editions	1	0
first front announcement	1	0
first-hand information	1	0
fiscal policy	1	0
fish sticks	1	0
fish-farming technologies	1	0
fishing background	1	0
fishing pier	1	0
fizzed away	1	0
flash hider	1	0
flash hiders	1	0
flintlock muskets	1	0
fluorescent agent	1	0
flying aircraft	1	0
FM band	1	0
FM multiplexing	1	0
FM station	1	0
FM studio	1	0
FM two-way radio carrier squelch circuit	1	0
fnart jiz powder	1	0
foil shells	1	0
folded up	1	0
follow a pure indigenous faith	1	0
following the lead	1	0
food additive	1	0
food analysis laboratory	1	0
food colouring	1	0
food crops	1	0
food manufacturers	1	0
food prices	1	0
food production	1	0
food products	1	0
food safety	1	0
Food safety agencies	1	0
Food safety incidents	1	0
food safety incidents	1	0
food safety system	1	0
food testing equipment	1	0
football club	1	0
football competition	1	0
football games	1	0
football ground	1	0
football player	1	0
football team	1	0
foreign power	1	0
format program director	1	0
forms the boundary	1	0
foul language	1	0
found out	1	0
fraud charges	1	0
free expression	1	0
free fall	1	0
free falling	1	0
Free radical production	1	0
free tickets	1	0
free time	1	0
free will	1	0
freedom of religion	1	0
frequency conversion	1	0
frequency multiplier design.	1	0
Frequency multipliers	1	0
frequency multipliers	1	0
frequency tripled	1	0
freshman quarterback	1	0
friend for life	1	0
friendly international match	1	0
fruits of faith	1	0
frying oils	1	0
frying powder	1	0
fuel pellet	1	0
fuel truck	1	0
full on	1	0
full page	1	0
full service format	1	0
full time member	1	0
full-service adult contemporary / pop music format	1	0
fun house	1	0
functional group	1	0
fundamental right	1	0
funeral procession	1	0
fusion energy	1	0
fusion fuel	1	0
fusion output	1	0
fusion yields	1	0
gain possession	1	0
gain victory	1	0
gained	1	0
gained international attention	1	0
gained most of his fame	1	0
game discs	1	0
game images	1	0
game manual	1	0
game menus	1	0
game premise	1	0
games publisher	1	0
gaming console	1	0
gas laser experiments	1	0
gas lasers	1	0
gas station	1	0
gaseous crowd control	1	0
gasworks museums	1	0
gate groves	1	0
gave an impetus	1	0
gave an unexpected continuation	1	0
gave close attention	1	0
gave him a cult	1	0
gave no details	1	0
gave numerous lectures	1	0
gave talks	1	0
gave the episode	1	0
gave the station a special place	1	0
gave their farewells	1	0
gave two reasons	1	0
gay community	1	0
gay rights activist	1	0
gay rights advocacy	1	0
gearing up	1	0
gender neutral	1	0
Genealogy committee	1	0
general amnesty	1	0
general counsel	1	0
general election competition	1	0
General Secretary	1	0
general static	1	0
generic experiment	1	0
genocidal maniac	1	0
get	1	0
get him through	1	0
get into a fight	1	0
get out	1	0
get revenge	1	0
get up	1	0
gets in trouble	1	0
gets up	1	0
getting back together	1	0
getting out	1	0
girl power	1	0
give him away	1	0
give moral strength	1	0
give ontological priority	1	0
give tourists easy access	1	0
given a choice	1	0
given a good flogging	1	0
given an unconditional discharge	1	0
given instruction	1	0
given notices	1	0
given up	1	0
gives in	1	0
glamour model	1	0
glanced up	1	0
glass factory	1	0
glass lasers	1	0
glutamate antagonist	1	0
glutamate levels	1	0
go	1	0
go green	1	0
go in search	1	0
go into effect	1	0
go into politics	1	0
go off	1	0
goal nets	1	0
Goat urine	1	0
God Emperor	1	0
goes away	1	0
goes over	1	0
going into politics	1	0
going on stage	1	0
gold bullion	1	0
gold rush	1	0
gold shipments	1	0
gold standard	1	0
gold-standard debate	1	0
golden age	1	0
golf fees	1	0
golfing expenses.	1	0
gone	1	0
gonzo brewery	1	0
Gonzo journalism techniques	1	0
gonzo journalist	1	0
goof off	1	0
Gospel doctrine	1	0
government agencies	1	0
government allowances	1	0
government colleagues	1	0
government correspondence	1	0
government ministers	1	0
government officials	1	0
government policies	1	0
governmental system	1	0
graduation jump	1	0
grain elevators	1	0
grain speculators	1	0
grand jury	1	0
grand jury investigation	1	0
Grand National division	1	0
Grand National events	1	0
grassroots organizer	1	0
graveyard shift	1	0
great estate	1	0
greed factor	1	0
Green Beret camp	1	0
Green Beret candidate	1	0
gross domestic product	1	0
gross weight	1	0
ground capacity	1	0
ground forces	1	0
grow up	1	0
grown out	1	0
grown up	1	0
growth medium	1	0
guerrilla movement	1	0
guerrilla warfare	1	0
guest appearance	1	0
guilt she suffers	1	0
Gunnery Sergeant	1	0
had a chance encounter	1	0
had a crush	1	0
had a falling out	1	0
had a good relationship	1	0
had a great effect	1	0
had a lasting impact	1	0
had a love	1	0
had a meeting	1	0
had a successful run	1	0
had a win	1	0
had an adventure	1	0
had an impact	1	0
had influence	1	0
had issues	1	0
had lasting impact	1	0
had misgivings	1	0
had no intentions	1	0
had the greatest influence	1	0
hand guards	1	0
harbour coast	1	0
harbour edge	1	0
hard core smoker	1	0
hard cover	1	0
hardanger fiddle	1	0
Harding years	1	0
has an accident	1	0
has its share	1	0
have	1	0
have a close	1	0
have a relationship	1	0
have an affair	1	0
have sex	1	0
having lunch	1	0
having sex	1	0
having sexual relations	1	0
head coach	1	0
Head Coach	1	0
head growth	1	0
head of state	1	0
head offices	1	0
head organizers	1	0
head out	1	0
Head ranger	1	0
head trauma	1	0
head up	1	0
heading back	1	0
heads back	1	0
heads down	1	0
heads off	1	0
healing powers	1	0
health accidents	1	0
health and safety video	1	0
health blocks	1	0
health care	1	0
health department	1	0
health effects	1	0
health insurance	1	0
health officials	1	0
health problems	1	0
health services	1	0
heart surgery	1	0
heat distribution	1	0
heavy drinker	1	0
heavy ions	1	0
heavy machinery	1	0
heavy metal band	1	0
Heavy metallurgical plants	1	0
heighliner ships	1	0
heir male	1	0
held a government post	1	0
held any official	1	0
held in esteem	1	0
held in solemn trust	1	0
held its own convention	1	0
held numerous ministerial and political	1	0
held several posts	1	0
held the generals in low esteem	1	0
held this position	1	0
held widely disparate political views	1	0
helicopter extraction	1	0
helicopter factory	1	0
Hellenistic period	1	0
help out	1	0
hide and seek	1	0
high density fuel	1	0
high energy phosphates	1	0
high imperial court titles	1	0
high power	1	0
high power densities	1	0
high power laser pulses	1	0
high power system	1	0
high speed chase	1	0
high-density matter physics	1	0
high-density physics	1	0
high-energy laser designs	1	0
high-energy particles	1	0
high-pass filter	1	0
high-power laser	1	0
high-power lasers	1	0
high-school sports	1	0
Higher Education	1	0
higher education	1	0
higher studies	1	0
higher velocity counterparts	1	0
highest distinction	1	0
hippie culture	1	0
historic philosophy	1	0
historical dialectic	1	0
historical materialism	1	0
history of music	1	0
hold a referendum	1	0
hold any political power	1	0
hold down	1	0
hold on power	1	0
hold the universe to ransom	1	0
holding	1	0
holding of any type of	1	0
holding rallies	1	0
holding the prestigious Agrégation degree	1	0
holds more than 200 events	1	0
Holtzman field generator	1	0
Holy Communion	1	0
holy man	1	0
home computer	1	0
home economics	1	0
home fan seating	1	0
home fans	1	0
home games	1	0
home ground	1	0
home province	1	0
home town	1	0
home videos	1	0
Homing Teddies	1	0
honorary court office	1	0
Hooper ratings	1	0
hopped on	1	0
horror film	1	0
host a reception	1	0
host body	1	0
hot electron pre-heating	1	0
hot jazz	1	0
hot spots	1	0
Hot springs	1	0
hot tub	1	0
hotel room	1	0
house manager	1	0
housewarming party	1	0
Hovering devices	1	0
human beings	1	0
human body	1	0
human form	1	0
human rights	1	0
human societies	1	0
human-machine hybrids	1	0
hunger strike	1	0
hunting lodge	1	0
hydrogen peroxide	1	0
hydrophobic effect	1	0
hypothermia experiment	1	0
hypothermia researchers	1	0
hypothermia trials	1	0
hypothermic neuroprotection	1	0
hypothermic post-insult neural rescue	1	0
hypothermic protection	1	0
hypoxic damage	1	0
hypoxic insult	1	0
hypoxic-ischaemic brain damage	1	0
hypoxic-ischaemic damage	1	0
ice cream	1	0
ICF design	1	0
ICF experiment	1	0
ICF experiments	1	0
ICF facility	1	0
ICF program	1	0
ignition conditions.	1	0
immune systems	1	0
imperial court	1	0
implosion energy	1	0
in-band signaling	1	0
in-band signalling	1	0
in-flight refueling	1	0
inaugural ball	1	0
inband audio tones	1	0
incendiary armor piercing rounds	1	0
incubation period	1	0
indicator bacteria	1	0
indicator medium	1	0
indicator organism	1	0
indicator organisms levels	1	0
indie rock band	1	0
indirect drive	1	0
indirect drive approach	1	0
indirect drive research	1	0
individualist anarchism	1	0
Indoctration period	1	0
indoor soccer arena	1	0
industrial alcohol	1	0
industrial applications	1	0
industrial centre	1	0
industrial grade salt	1	0
industrial use	1	0
Inertial confinement fusion ( ICF ) devices	1	0
inertial confinement fusion ( ICF ) experiments	1	0
infant brain metabolism	1	0
information services	1	0
information website	1	0
information-services department	1	0
inner city	1	0
inner city suburb	1	0
inner voice	1	0
input signal	1	0
input signals	1	0
insect infestation	1	0
insignia rates	1	0
insurance adjuster	1	0
insurance commissioner	1	0
interest groups	1	0
interference problems	1	0
Interfering signals	1	0
intermission program	1	0
internal affairs	1	0
international law	1	0
Internet poll	1	0
internet service	1	0
interplanetary banking	1	0
intoxication tests	1	0
invasion force	1	0
invasion forces	1	0
Investigations jointly held	1	0
investigative report	1	0
ion exchange	1	0
Ion exchange sorbents	1	0
ionic interaction	1	0
IR frequencies	1	0
Iron ( II ) sulfate	1	0
ironwood sword	1	0
is off	1	0
is on cloud nine	1	0
is up	1	0
John R. Boyle-led	1	0
joint efforts	1	0
joint investigation team	1	0
joint statement	1	0
journalism career	1	0
jump towers	1	0
Junie Donlavey ride	1	0
junk food	1	0
jury trial	1	0
justice minister	1	0
justices of the peace	1	0
keep up	1	0
kept a collection	1	0
Kerr lensing	1	0
key affiliate	1	0
keynote speaker	1	0
KFAC announcers	1	0
kidney disease	1	0
knock out	1	0
knocked down	1	0
knocked out	1	0
labour power	1	0
lactic alkalosis	1	0
lactose fermentation	1	0
ladies ' dresses	1	0
laid emphasis	1	0
laid off	1	0
laid out	1	0
laid the ground	1	0
land surveys	1	0
land taking movement	1	0
land warfare	1	0
land-holding system	1	0
language barrier	1	0
large scale adaptation	1	0
laser beamlines	1	0
laser energies	1	0
laser facility	1	0
laser light	1	0
laser pulse	1	0
laser system	1	0
laughs off	1	0
law degree	1	0
law firm	1	0
law practice	1	0
law professor	1	0
lawn bowls club	1	0
lay siege	1	0
lay State	1	0
lead character	1	0
lead roles	1	0
leading a normal life	1	0
leading committee	1	0
leading role	1	0
leading roles	1	0
league fixture	1	0
league match	1	0
league season	1	0
leaned over	1	0
learned man	1	0
lease arrangement	1	0
leave it behind	1	0
left hand thread	1	0
left the slavers behind	1	0
legal / ecclesiastical professions	1	0
legal advice	1	0
legal issues	1	0
legal support	1	0
Legislation probe	1	0
legislation proposals	1	0
Legislative Auditor	1	0
lent their support	1	0
let " the boys " down	1	0
let any signal	1	0
let Max down	1	0
letter series	1	0
letter writer	1	0
libertarian socialism	1	0
library employee	1	0
library staff	1	0
license renewal	1	0
liege lord	1	0
Lieutenant Colonel	1	0
Lieutenant General	1	0
lieutenant governor	1	0
lieutenant governorship	1	0
life insurance	1	0
