PoS-word	#labels	#instances	most common label	#	label	#	label	#	label	#	label	#	label	#	label	#	label	#	label	#	label	#	label	#
VBG-saying	1	13	communication	13																				
VB-think	1	13	cognition	13																				
NN-kind	1	13	cognition	13																				
VBD-thought	1	13	cognition	13																				
VB-fix	1	13	change	13																				
NFP-:)	1	13	`	13																				
NN-dentist	1	12	person	12																				
NNS-kids	1	12	person	12																				
NN-wedding	1	12	event	12																				
VB-love	1	12	emotion	12																				
VBD-enjoyed	1	12	emotion	12																				
VBZ-needs	1	12	cognition	12																				
NN-product	1	12	artifact	12																				
NN-stay	1	11	event	11																				
NN-review	1	11	communication	11																				
NNS-questions	1	11	communication	11																				
VBD-knew	1	11	cognition	11																				
NN-pm	1	10	time	10																				
NN-girl	1	10	person	10																				
NN-patient	1	10	person	10																				
VBD-loved	1	10	emotion	10																				
VBD-refused	1	10	communication	10																				
VBD-explained	1	10	communication	10																				
NNS-problems	1	10	cognition	10																				
VB-learn	1	10	cognition	10																				
VB-expect	1	10	cognition	10																				
NFP-*	1	10	`	10																				
NNP-sunday	1	9	time	9																				
VBG-helping	1	9	social	9																				
NN-credit	1	9	possession	9																				
NN-cost	1	9	possession	9																				
VBD-paid	1	9	possession	9																				
NN-vet	1	9	person	9																				
NN-husband	1	9	person	9																				
NN-instructor	1	9	person	9																				
VBD-arrived	1	9	motion	9																				
VB-bring	1	9	motion	9																				
NN-beer	1	9	food	9																				
NN-salad	1	9	food	9																				
NN-cheese	1	9	food	9																				
VBD-liked	1	9	emotion	9																				
CD-5	1	9	communication	9																				
VB-understand	1	9	cognition	9																				
NN-piece	1	9	artifact	9																				
NN-clothing	1	9	artifact	9																				
NNS-animals	1	9	animal	9																				
VBG-paying	1	8	possession	8																				
NN-daughter	1	8	person	8																				
NN-firm	1	8	group	8																				
NN-dealership	1	8	group	8																				
VBN-cooked	1	8	creation	8																				
VBG-calling	1	8	communication	8																				
NNS-issues	1	8	cognition	8																				
VBD-seemed	1	8	cognition	8																				
VBN-fixed	1	8	change	8																				
NN-window	1	8	artifact	8																				
NN-furniture	1	8	artifact	8																				
NNS-tires	1	8	artifact	8																				
NNS-mins	1	7	time	7																				
NN-future	1	7	time	7																				
NNS-miles	1	7	quantity	7																				
NN-cash	1	7	possession	7																				
NNP-doctor	1	7	person	7																				
NN-mechanic	1	7	person	7																				
NN-dealer	1	7	person	7																				
NN-woman	1	7	person	7																				
NN-chef	1	7	person	7																				
NNP-dr	1	7	person	7																				
NNS-teachers	1	7	person	7																				
NN-son	1	7	person	7																				
NN-man	1	7	person	7																				
VBG-moving	1	7	motion	7																				
VB-walk	1	7	motion	7																				
NNP-warwick	1	7	location	7																				
NN-address	1	7	location	7																				
JJ-front	1	7	location	7																				
NN-corner	1	7	location	7																				
NN-department	1	7	group	7																				
NN-group	1	7	group	7																				
NNP-tmobile	1	7	group	7																				
NN-gym	1	7	group	7																				
NN-chocolate	1	7	food	7																				
NN-chicken	1	7	food	7																				
NN-pho	1	7	food	7																				
NN-slice	1	7	food	7																				
NN-salsa	1	7	food	7																				
NN-event	1	7	event	7																				
VBN-eaten	1	7	consumption	7																				
VBG-telling	1	7	communication	7																				
NNS-expectations	1	7	cognition	7																				
VBG-finding	1	7	cognition	7																				
VB-remember	1	7	cognition	7																				
VBN-supposed	1	7	cognition	7																				
VBD-decided	1	7	cognition	7																				
NNS-products	1	7	artifact	7																				
NNS-cars	1	7	artifact	7																				
NN-equipment	1	7	artifact	7																				
NN-engine	1	7	artifact	7																				
NN-bike	1	7	artifact	7																				
NNP-monday	1	6	time	6																				
VBN-compared	1	6	stative	6																				
VBG-sitting	1	6	stative	6																				
VBD-helped	1	6	social	6																				
VBD-met	1	6	social	6																				
NN-process	1	6	process	6																				
NN-fee	1	6	possession	6																				
NNP-michael	1	6	person	6																				
NNP-mike	1	6	person	6																				
NNP-gerry	1	6	person	6																				
VBD-tasted	1	6	perception	6																				
VB-deliver	1	6	motion	6																				
NNP-vcu	1	6	group	6																				
NNS-drinks	1	6	food	6																				
NN-cake	1	6	food	6																				
NNS-dishes	1	6	food	6																				
VB-talk	1	6	communication	6																				
VB-explain	1	6	communication	6																				
VBG-talking	1	6	communication	6																				
VB-read	1	6	communication	6																				
NNP-english	1	6	communication	6																				
NN-communication	1	6	communication	6																				
NN-internet	1	6	communication	6																				
VB-beware	1	6	cognition	6																				
VBG-expecting	1	6	cognition	6																				
VBP-mean	1	6	cognition	6																				
VB-hesitate	1	6	cognition	6																				
NNS-rules	1	6	cognition	6																				
VB-cancel	1	6	change	6																				
VBN-cleaned	1	6	change	6																				
NNS-windows	1	6	artifact	6																				
NNS-pictures	1	6	artifact	6																				
NN-item	1	6	artifact	6																				
NN-fence	1	6	artifact	6																				
NN-printing	1	6	act	6																				
IN-for	1	6	`	6																				
JJ-worth	1	6	`	6																				
NNS-weekends	1	5	time	5																				
NN-winter	1	5	time	5																				
NN-yesterday	1	5	time	5																				
VBD-lasted	1	5	stative	5																				
VBG-visiting	1	5	social	5																				
VBG-living	1	5	social	5																				
VB-shop	1	5	social	5																				
VBN-worked	1	5	social	5																				
VBG-buying	1	5	possession	5																				
NNS-dollars	1	5	possession	5																				
VBN-charged	1	5	possession	5																				
VBD-charged	1	5	possession	5																				
NN-payment	1	5	possession	5																				
NN-rate	1	5	possession	5																				
VBD-purchased	1	5	possession	5																				
NN-bill	1	5	possession	5																				
NN-surgeon	1	5	person	5																				
NN-waitress	1	5	person	5																				
NNP-dan	1	5	person	5																				
NN-photographer	1	5	person	5																				
NNP-david	1	5	person	5																				
NN-receptionist	1	5	person	5																				
NN-child	1	5	person	5																				
NNP-rod	1	5	person	5																				
NN-teacher	1	5	person	5																				
VBP-taste	1	5	perception	5																				
VBN-delivered	1	5	motion	5																				
NNP-broad	1	5	location	5																				
NNP-san	1	5	location	5																				
NNP-chicago	1	5	location	5																				
NNP-santa	1	5	location	5																				
NNS-stores	1	5	group	5																				
NNP-a&e	1	5	group	5																				
NN-chain	1	5	group	5																				
NNS-shops	1	5	group	5																				
NNS-restaurants	1	5	group	5																				
NN-dish	1	5	food	5																				
NN-mezza	1	5	food	5																				
NNS-beers	1	5	food	5																				
NNS-ingredients	1	5	food	5																				
NNS-wings	1	5	food	5																				
NNS-rolls	1	5	food	5																				
NN-dessert	1	5	food	5																				
NN-take	1	5	food	5																				
NN-trip	1	5	event	5																				
VB-enjoy	1	5	emotion	5																				
VBP-enjoy	1	5	emotion	5																				
VBZ-loves	1	5	emotion	5																				
VBN-said	1	5	communication	5																				
VBN-asked	1	5	communication	5																				
VBD-claimed	1	5	communication	5																				
VBN-described	1	5	communication	5																				
VBN-spoken	1	5	communication	5																				
VBZ-wants	1	5	cognition	5																				
NN-attention	1	5	cognition	5																				
NN-fact	1	5	cognition	5																				
NN-level	1	5	cognition	5																				
VBP-believe	1	5	cognition	5																				
VBD-expected	1	5	cognition	5																				
VBP-guess	1	5	cognition	5																				
NN-music	1	5	cognition	5																				
NN-choice	1	5	cognition	5																				
VBN-needed	1	5	cognition	5																				
VB-forget	1	5	cognition	5																				
VB-need	1	5	cognition	5																				
NN-manner	1	5	cognition	5																				
NN-idea	1	5	cognition	5																				
VBG-fixing	1	5	change	5																				
VB-replace	1	5	change	5																				
VBN-replaced	1	5	change	5																				
NN-neck	1	5	body	5																				
NN-shower	1	5	artifact	5																				
NNS-clothes	1	5	artifact	5																				
NN-tile	1	5	artifact	5																				
NNS-dresses	1	5	artifact	5																				
NN-tattoo	1	5	artifact	5																				
NN-screen	1	5	artifact	5																				
NN-maintenance	1	5	act	5																				
NNP-saturday	1	4	time	4																				
NNP-august	1	4	time	4																				
NN-afternoon	1	4	time	4																				
VBN-kept	1	4	stative	4																				
VB-bother	1	4	social	4																				
VBD-lived	1	4	social	4																				
VBN-attended	1	4	social	4																				
VBP-treat	1	4	social	4																				
VBN-served	1	4	social	4																				
VBN-met	1	4	social	4																				
VB-serve	1	4	social	4																				
VBN-purchased	1	4	possession	4																				
NN-charge	1	4	possession	4																				
NN-tip	1	4	possession	4																				
NN-deposit	1	4	possession	4																				
NN-purchase	1	4	possession	4																				
NNS-rates	1	4	possession	4																				
VB-sell	1	4	possession	4																				
NNP-holly	1	4	person	4																				
NNP-mark	1	4	person	4																				
NNP-james	1	4	person	4																				
JJ-criminal	1	4	person	4																				
NNP-ted	1	4	person	4																				
NNP-dave	1	4	person	4																				
NNS-reviewers	1	4	person	4																				
NN-attorney	1	4	person	4																				
NN-lady	1	4	person	4																				
NNS-neighbors	1	4	person	4																				
NN-contractor	1	4	person	4																				
NNP-stuart	1	4	person	4																				
VBN-tasted	1	4	perception	4																				
VBD-towed	1	4	motion	4																				
VBD-picked	1	4	motion	4																				
VBD-drove	1	4	motion	4																				
NNP-locust	1	4	location	4																				
NNP-17th	1	4	location	4																				
NNP-canada	1	4	location	4																				
NNP-nj	1	4	location	4																				
NN-trash	1	4	location	4																				
NN-motel	1	4	group	4																				
NN-hospital	1	4	group	4																				
NNP-radison	1	4	group	4																				
NNP-just	1	4	group	4																				
NN-clinic	1	4	group	4																				
NN-community	1	4	group	4																				
NN-establishment	1	4	group	4																				
NNP-exile	1	4	group	4																				
NNP-midas	1	4	group	4																				
NNP-home	1	4	group	4																				
NNP-fusionretail	1	4	group	4																				
NNP-bowtie	1	4	group	4																				
NNS-companies	1	4	group	4																				
NNS-fries	1	4	food	4																				
NN-burger	1	4	food	4																				
NN-entree	1	4	food	4																				
NN-shrimp	1	4	food	4																				
NN-sauce	1	4	food	4																				
NN-sandwich	1	4	food	4																				
NN-roll	1	4	food	4																				
NNS-sandwiches	1	4	food	4																				
NN-pie	1	4	food	4																				
VB-cook	1	4	creation	4																				
NNS-comments	1	4	communication	4																				
NN-web	1	4	communication	4																				
VB-speak	1	4	communication	4																				
VBD-stated	1	4	communication	4																				
VBD-answered	1	4	communication	4																				
NNS-names	1	4	communication	4																				
VBP-tell	1	4	communication	4																				
VBP-call	1	4	communication	4																				
NN-answer	1	4	communication	4																				
VBP-ask	1	4	communication	4																				
NN-reviews	1	4	communication	4																				
VBG-reading	1	4	communication	4																				
NN-rating	1	4	communication	4																				
VB-refer	1	4	communication	4																				
NN-email	1	4	communication	4																				
VBD-recommended	1	4	communication	4																				
NN-trouble	1	4	cognition	4																				
VBD-chose	1	4	cognition	4																				
NN-issue	1	4	cognition	4																				
VBG-learning	1	4	cognition	4																				
VB-imagine	1	4	cognition	4																				
VBD-forgot	1	4	cognition	4																				
NN-fault	1	4	cognition	4																				
VBZ-means	1	4	cognition	4																				
VBG-considering	1	4	cognition	4																				
NN-hassle	1	4	cognition	4																				
VBP-seem	1	4	cognition	4																				
NN-workmanship	1	4	attribute	4																				
NN-beauty	1	4	attribute	4																				
NN-rudeness	1	4	attribute	4																				
NN-suite	1	4	artifact	4																				
NN-truck	1	4	artifact	4																				
NNS-fixtures	1	4	artifact	4																				
NN-cottage	1	4	artifact	4																				
NNS-doors	1	4	artifact	4																				
NN-roof	1	4	artifact	4																				
NNP-gracee	1	4	animal	4																				
NN-pet	1	4	animal	4																				
NN-pup	1	4	animal	4																				
NN-acupuncture	1	4	act	4																				
NN-ride	1	4	act	4																				
NN-moving	1	4	act	4																				
NN-driving	1	4	act	4																				
NFP--	1	4	`	4																				
IN-that	1	4	`	4																				
NN-summer	1	3	time	3																				
NNS-80's	1	3	time	3																				
NN-minute	1	3	time	3																				
VBG-keeping	1	3	stative	3																				
VBD-where	1	3	stative	3																				
VBD-became	1	3	stative	3																				
VB-continue	1	3	stative	3																				
VB-dine	1	3	social	3																				
VB-push	1	3	social	3																				
VBG-staying	1	3	social	3																				
VBZ-provides	1	3	social	3																				
VBP-close	1	3	social	3																				
VBN-scheduled	1	3	social	3																				
NN-pair	1	3	quantity	3																				
NN-inch	1	3	quantity	3																				
VBN-spent	1	3	possession	3																				
NN-budget	1	3	possession	3																				
NN-warranty	1	3	possession	3																				
VBD-bought	1	3	possession	3																				
VBZ-charges	1	3	possession	3																				
VBP-pay	1	3	possession	3																				
NN-membership	1	3	possession	3																				
VB-purchase	1	3	possession	3																				
VBP-charge	1	3	possession	3																				
NNS-coupons	1	3	possession	3																				
NNS-bucks	1	3	possession	3																				
NN-total	1	3	possession	3																				
NN-billing	1	3	possession	3																				
NNP-deb	1	3	person	3																				
NN-baby	1	3	person	3																				
NNP-ahmed	1	3	person	3																				
NN-reviewer	1	3	person	3																				
NNP-jana	1	3	person	3																				
NN-lover	1	3	person	3																				
NNP-jason	1	3	person	3																				
NNS-members	1	3	person	3																				
NNP-tina	1	3	person	3																				
NNP-ana	1	3	person	3																				
NNP-janice	1	3	person	3																				
NNS-vets	1	3	person	3																				
NN-salesman	1	3	person	3																				
NNP-craig	1	3	person	3																				
NNS-parents	1	3	person	3																				
NNS-chefs	1	3	person	3																				
NNP-stephanie	1	3	person	3																				
NNP-seth	1	3	person	3																				
NNP-steven	1	3	person	3																				
NNP-natasha	1	3	person	3																				
NN-director	1	3	person	3																				
NNP-joe	1	3	person	3																				
NN-therapist	1	3	person	3																				
NN-jerk	1	3	person	3																				
NNP-karla	1	3	person	3																				
NN-girlfriend	1	3	person	3																				
VBG-watching	1	3	perception	3																				
VB-taste	1	3	perception	3																				
NN-beach	1	3	natural object	3																				
VBG-traveling	1	3	motion	3																				
VBN-towed	1	3	motion	3																				
VB-move	1	3	motion	3																				
VBD-returned	1	3	motion	3																				
VBP-leave	1	3	motion	3																				
VBN-brought	1	3	motion	3																				
VBN-sent	1	3	motion	3																				
VB-park	1	3	motion	3																				
NNP-fort	1	3	location	3																				
NN-floor	1	3	location	3																				
NNP-tampa	1	3	location	3																				
NNP-philly	1	3	location	3																				
NNP-nashville	1	3	location	3																				
NN-destination	1	3	location	3																				
NNP-seattle	1	3	location	3																				
NNP-murfreesboro	1	3	location	3																				
NNP-miami	1	3	location	3																				
NNP-dallas	1	3	location	3																				
NNP-saratoga	1	3	location	3																				
NNP-brooklyn	1	3	location	3																				
NN-park	1	3	location	3																				
NNP-virginia	1	3	location	3																				
NNP-manson	1	3	location	3																				
NNP-wildwood	1	3	location	3																				
NNP-sicily	1	3	location	3																				
NN-bedroom	1	3	location	3																				
NNP-starbucks	1	3	group	3																				
NN-church	1	3	group	3																				
NNP-world	1	3	group	3																				
NN-daycare	1	3	group	3																				
NNP-sear's	1	3	group	3																				
NNP-alto	1	3	group	3																				
NN-band	1	3	group	3																				
NNP-bright	1	3	group	3																				
NNP-verizon	1	3	group	3																				
NNS-hotels	1	3	group	3																				
NN-theatre	1	3	group	3																				
NN-supplier	1	3	group	3																				
NNP-second	1	3	group	3																				
NNP-ham	1	3	group	3																				
NNS-families	1	3	group	3																				
NNP-fitness	1	3	group	3																				
NNS-offices	1	3	group	3																				
NNP-auto	1	3	group	3																				
NNP-dominos	1	3	group	3																				
NNP-texas	1	3	group	3																				
NNP-bna	1	3	group	3																				
NN-studio	1	3	group	3																				
NN-pepper	1	3	food	3																				
NN-milk	1	3	food	3																				
JJ-bloody	1	3	food	3																				
NNS-pizzas	1	3	food	3																				
NN-bbq	1	3	food	3																				
NNS-tacos	1	3	food	3																				
NN-queso	1	3	food	3																				
NNS-cakes	1	3	food	3																				
NN-bread	1	3	food	3																				
NN-drink	1	3	food	3																				
NNS-donuts	1	3	food	3																				
NNS-pies	1	3	food	3																				
NN-soda	1	3	food	3																				
NNS-meats	1	3	food	3																				
NN-cuisine	1	3	food	3																				
NNS-bagels	1	3	food	3																				
NN-crab	1	3	food	3																				
NN-tempura	1	3	food	3																				
NN-reservation	1	3	event	3																				
NNS-occasions	1	3	event	3																				
NNS-cases	1	3	event	3																				
NN-arrival	1	3	event	3																				
NN-funeral	1	3	event	3																				
VBG-enjoying	1	3	emotion	3																				
VBD-ate	1	3	consumption	3																				
VBD-signed	1	3	communication	3																				
VBD-agreed	1	3	communication	3																				
VBN-posted	1	3	communication	3																				
NN-response	1	3	communication	3																				
JJ-social	1	3	communication	3																				
NN-software	1	3	communication	3																				
NN-comment	1	3	communication	3																				
NN-question	1	3	communication	3																				
NNS-calls	1	3	communication	3																				
VB-warn	1	3	communication	3																				
VBZ-tells	1	3	communication	3																				
VB-answer	1	3	communication	3																				
VB-write	1	3	communication	3																				
NN-guide	1	3	communication	3																				
NN-statement	1	3	communication	3																				
VBP-promise	1	3	communication	3																				
VBD-spoke	1	3	communication	3																				
VBP-refer	1	3	communication	3																				
VBD-read	1	3	communication	3																				
VB-suggest	1	3	communication	3																				
NNS-words	1	3	communication	3																				
NN-ability	1	3	cognition	3																				
VBD-new	1	3	cognition	3																				
NN-perfection	1	3	cognition	3																				
VB-avoid	1	3	cognition	3																				
NN-heaven	1	3	cognition	3																				
NNS-concerns	1	3	cognition	3																				
JJ-mental	1	3	cognition	3																				
NN-skill	1	3	cognition	3																				
NN-truth	1	3	cognition	3																				
NN-craving	1	3	cognition	3																				
NN-sort	1	3	cognition	3																				
NN-nightmare	1	3	cognition	3																				
NNS-strategies	1	3	cognition	3																				
VBG-needing	1	3	cognition	3																				
NN-upgrade	1	3	cognition	3																				
VB-choose	1	3	cognition	3																				
VBD-noticed	1	3	cognition	3																				
NN-history	1	3	cognition	3																				
NN-plan	1	3	cognition	3																				
VBD-broke	1	3	change	3																				
VBD-cleaned	1	3	change	3																				
VBN-repaired	1	3	change	3																				
VBG-wearing	1	3	body	3																				
NN-teeth	1	3	body	3																				
NN-efficiency	1	3	attribute	3																				
NNS-facilities	1	3	artifact	3																				
NNS-linens	1	3	artifact	3																				
NNS-chandeliers	1	3	artifact	3																				
NN-wheel	1	3	artifact	3																				
NNS-cards	1	3	artifact	3																				
NN-key	1	3	artifact	3																				
NN-grinder	1	3	artifact	3																				
NNS-curtains	1	3	artifact	3																				
NN-box	1	3	artifact	3																				
NNS-chairs	1	3	artifact	3																				
NNS-posters	1	3	artifact	3																				
NNS-banners	1	3	artifact	3																				
NNS-cabins	1	3	artifact	3																				
NN-piano	1	3	artifact	3																				
NNS-vehicles	1	3	artifact	3																				
NN-can	1	3	artifact	3																				
NN-gown	1	3	artifact	3																				
NN-jar	1	3	artifact	3																				
NN-gate	1	3	artifact	3																				
NN-paper	1	3	artifact	3																				
NN-board	1	3	artifact	3																				
NNS-towels	1	3	artifact	3																				
NN-compressor	1	3	artifact	3																				
NN-dresser	1	3	artifact	3																				
NNP-bmw	1	3	artifact	3																				
NNS-bugs	1	3	animal	3																				
NN-training	1	3	act	3																				
NN-counseling	1	3	act	3																				
NN-manicure	1	3	act	3																				
NN-inspection	1	3	act	3																				
DT-every	1	3	`	3																				
NN-little	1	3	`	3																				
NNP-december	1	2	time	2																				
NNPS-sundays	1	2	time	2																				
NNP-january	1	2	time	2																				
NNP-march	1	2	time	2																				
NNP-april	1	2	time	2																				
NN-past	1	2	time	2																				
NNS-min	1	2	time	2																				
NNP-may	1	2	time	2																				
NNP-year	1	2	time	2																				
NNP-july	1	2	time	2																				
NN-tonight	1	2	time	2																				
NN-drug	1	2	substance	2																				
NN-concrete	1	2	substance	2																				
NN-grease	1	2	substance	2																				
NN-leather	1	2	substance	2																				
VB-stand	1	2	stative	2																				
VBD-sat	1	2	stative	2																				
VBG-ranging	1	2	stative	2																				
VBP-suck	1	2	stative	2																				
VBD-began	1	2	stative	2																				
VBG-surrounding	1	2	stative	2																				
VBD-continued	1	2	stative	2																				
VBN-opened	1	2	stative	2																				
VBP-end	1	2	stative	2																				
VBZ-continues	1	2	stative	2																				
RB-up	1	2	stative	2																				
VBN-received	1	2	stative	2																				
VBN-coupled	1	2	stative	2																				
VBD-lacked	1	2	stative	2																				
VBZ-keeps	1	2	stative	2																				
VBG-maintaining	1	2	stative	2																				
VBN-closed	1	2	stative	2																				
VB-introduce	1	2	social	2																				
VBP-serve	1	2	social	2																				
VBD-hired	1	2	social	2																				
VBN-caught	1	2	social	2																				
VBN-supplied	1	2	social	2																				
VBG-training	1	2	social	2																				
VBD-visited	1	2	social	2																				
VBZ-serves	1	2	social	2																				
VBN-lived	1	2	social	2																				
VBG-dancing	1	2	social	2																				
VBP-frequent	1	2	social	2																				
VB-operate	1	2	social	2																				
VBG-shopping	1	2	social	2																				
VB-treat	1	2	social	2																				
VBD-treated	1	2	social	2																				
VBN-shown	1	2	social	2																				
VBN-raised	1	2	social	2																				
VB-lace	1	2	social	2																				
VB-board	1	2	social	2																				
VB-hire	1	2	social	2																				
VB-miss	1	2	social	2																				
VBP-meet	1	2	social	2																				
VB-suit	1	2	social	2																				
VBG-providing	1	2	social	2																				
VB-apply	1	2	social	2																				
VB-support	1	2	social	2																				
VBG-acting	1	2	social	2																				
NN-percent	1	2	relation	2																				
NN-increase	1	2	relation	2																				
NN-decrease	1	2	relation	2																				
NNS-pounds	1	2	quantity	2																				
NN-majority	1	2	quantity	2																				
NN-mile	1	2	quantity	2																				
NNS-thousands	1	2	quantity	2																				
NN-k	1	2	quantity	2																				
VBN-sold	1	2	possession	2																				
VB-recieve	1	2	possession	2																				
NNS-fees	1	2	possession	2																				
NN-refund	1	2	possession	2																				
NN-ownership	1	2	possession	2																				
NN-p	1	2	possession	2																				
VBG-purchasing	1	2	possession	2																				
NN-penalty	1	2	possession	2																				
NN-lease	1	2	possession	2																				
VBP-buy	1	2	possession	2																				
VB-rent	1	2	possession	2																				
VBN-quoted	1	2	possession	2																				
VB-owe	1	2	possession	2																				
VB-receive	1	2	possession	2																				
NN-sale	1	2	possession	2																				
VBP-own	1	2	possession	2																				
NN-wallet	1	2	possession	2																				
NN-result	1	2	phenomenon	2																				
NN-outcome	1	2	phenomenon	2																				
NNP-nigel	1	2	person	2																				
NNS-dentists	1	2	person	2																				
NNS-mechanics	1	2	person	2																				
NNS-photographers	1	2	person	2																				
NNS-physios	1	2	person	2																				
NNS-professors	1	2	person	2																				
NNS-contractors	1	2	person	2																				
NNP-richard	1	2	person	2																				
NN-stylist	1	2	person	2																				
NN-junkie	1	2	person	2																				
NN-innkeeper	1	2	person	2																				
NNS-adults	1	2	person	2																				
NN-climber	1	2	person	2																				
NN-salesperson	1	2	person	2																				
NN-detective	1	2	person	2																				
NNS-managers	1	2	person	2																				
NN-crafter	1	2	person	2																				
NNP-marek	1	2	person	2																				
NN-technician	1	2	person	2																				
NNP-john	1	2	person	2																				
NN-assistant	1	2	person	2																				
NNP-ulistic	1	2	person	2																				
NNS-grandparents	1	2	person	2																				
NNP-bud	1	2	person	2																				
NN-female	1	2	person	2																				
NN-diner	1	2	person	2																				
NNS-women	1	2	person	2																				
NNS-stylists	1	2	person	2																				
NNP-mrs.	1	2	person	2																				
NN-sales	1	2	person	2																				
NN-chick	1	2	person	2																				
NN-bartender	1	2	person	2																				
NN-waiter	1	2	person	2																				
NNP-jeff	1	2	person	2																				
NN-hairdresser	1	2	person	2																				
NN-dude	1	2	person	2																				
NN-landlord	1	2	person	2																				
NNP-derrick	1	2	person	2																				
NNP-chuck	1	2	person	2																				
NNS-jerks	1	2	person	2																				
NNS-daughters	1	2	person	2																				
NNP-kim	1	2	person	2																				
NN-boyfriend	1	2	person	2																				
NNP-tire	1	2	person	2																				
NN-dad	1	2	person	2																				
NNP-johnette	1	2	person	2																				
NNS-partners	1	2	person	2																				
NN-ballerina	1	2	person	2																				
NNP-steve	1	2	person	2																				
NNP-peter	1	2	person	2																				
NN-greeter	1	2	person	2																				
NNP-eric	1	2	person	2																				
NNP-tiffany	1	2	person	2																				
NNP-anna	1	2	person	2																				
NN-clerk	1	2	person	2																				
NNS-co-workers	1	2	person	2																				
NNP-elmira	1	2	person	2																				
NN-florist	1	2	person	2																				
NNS-smokers	1	2	person	2																				
NNS-doctors	1	2	person	2																				
NNP-andrew	1	2	person	2																				
NN-electrician	1	2	person	2																				
NNP-rich	1	2	person	2																				
NN-representative	1	2	person	2																				
VBZ-smells	1	2	perception	2																				
NN-wind	1	2	natural object	2																				
NNS-feathers	1	2	natural object	2																				
VBN-shipped	1	2	motion	2																				
VBP-walk	1	2	motion	2																				
VBP-arrive	1	2	motion	2																				
VBP-deliver	1	2	motion	2																				
VB-load	1	2	motion	2																				
VBP-drive	1	2	motion	2																				
VBG-bringing	1	2	motion	2																				
VBP-drove	1	2	motion	2																				
NN-centre	1	2	location	2																				
NNP-chinatown	1	2	location	2																				
NN-cafeteria	1	2	location	2																				
NN-downtown	1	2	location	2																				
NN-locker	1	2	location	2																				
NNP-lewiston	1	2	location	2																				
NNP-walnut	1	2	location	2																				
NNP-france	1	2	location	2																				
NNP-north	1	2	location	2																				
NNP-bellevue	1	2	location	2																				
NNP-wisconsin	1	2	location	2																				
NNP-rittenhouse	1	2	location	2																				
NNP-glasgow	1	2	location	2																				
NNP-australia	1	2	location	2																				
NNP-south	1	2	location	2																				
NNP-toronto	1	2	location	2																				
NN-highway	1	2	location	2																				
NN-lobby	1	2	location	2																				
NNP-baltimore	1	2	location	2																				
NN-airport	1	2	location	2																				
NN-neighbourhood	1	2	location	2																				
NNP-metro	1	2	location	2																				
NN-coast	1	2	location	2																				
NNP-woodinville	1	2	location	2																				
NN-gang	1	2	group	2																				
NN-b&b	1	2	group	2																				
NN-crowd	1	2	group	2																				
NNP-papeluna	1	2	group	2																				
NNP-bj	1	2	group	2																				
NN-university	1	2	group	2																				
NNS-businesses	1	2	group	2																				
NNP-endo	1	2	group	2																				
NN-bunch	1	2	group	2																				
NNP-kitchen	1	2	group	2																				
NNP-bradley	1	2	group	2																				
NNP-hop	1	2	group	2																				
NNP-warner	1	2	group	2																				
NNP-lovely	1	2	group	2																				
NNP-ndi	1	2	group	2																				
NNP-farrell	1	2	group	2																				
NNP-liquidweb	1	2	group	2																				
NNP-united	1	2	group	2																				
NN-industry	1	2	group	2																				
NNP-cheveux	1	2	group	2																				
NNP-fraiser	1	2	group	2																				
NNPS-signs	1	2	group	2																				
NNP-eagle	1	2	group	2																				
NNP-britt	1	2	group	2																				
NNP-hot	1	2	group	2																				
NNP-hickory	1	2	group	2																				
NNP-brickell	1	2	group	2																				
NNP-sonic	1	2	group	2																				
NNP-tiger	1	2	group	2																				
NNP-sun	1	2	group	2																				
NNS-designers	1	2	group	2																				
NNP-max	1	2	group	2																				
NN-crew	1	2	group	2																				
NN-cast	1	2	group	2																				
NNP-american	1	2	group	2																				
NNP-fhs	1	2	group	2																				
NNP-st.	1	2	group	2																				
NN-inn	1	2	group	2																				
NN-library	1	2	group	2																				
NNP-mama	1	2	group	2																				
NNP-slice	1	2	group	2																				
NNP-hcc	1	2	group	2																				
NN-resturant	1	2	group	2																				
NNP-sanctuary	1	2	group	2																				
NNP-comfort	1	2	group	2																				
NNP-adz	1	2	group	2																				
NN-cafe	1	2	group	2																				
NNP-family	1	2	group	2																				
NNP-t	1	2	group	2																				
NNP-decor	1	2	group	2																				
NNP-tanglewood	1	2	group	2																				
NNP-ralph	1	2	group	2																				
NNP-zahav	1	2	group	2																				
NNP-cheap	1	2	group	2																				
NNP-orr	1	2	group	2																				
NN-fat	1	2	food	2																				
NN-lamb	1	2	food	2																				
NNS-veggies	1	2	food	2																				
JJ-cuban	1	2	food	2																				
NNS-desserts	1	2	food	2																				
NN-hummus	1	2	food	2																				
NNS-wines	1	2	food	2																				
NN-pork	1	2	food	2																				
NN-fish	1	2	food	2																				
NN-beef	1	2	food	2																				
NNS-soups	1	2	food	2																				
NN-egg	1	2	food	2																				
NN-fare	1	2	food	2																				
NNS-sauces	1	2	food	2																				
NNS-chips	1	2	food	2																				
NN-duck	1	2	food	2																				
NN-buffet	1	2	food	2																				
NN-mix	1	2	food	2																				
NN-affair	1	2	food	2																				
NN-flatbread	1	2	food	2																				
NN-foie	1	2	food	2																				
NN-chili	1	2	food	2																				
NN-sampler	1	2	food	2																				
NNS-salads	1	2	food	2																				
NN-snack	1	2	food	2																				
NN-rice	1	2	food	2																				
